"Current Name and SPRAT ID","Current Name and SPRAT ID","Current Name and SPRAT ID","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Documents ","EPBC Act Documents ","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","State, Territory and International Threatened Species","State, Territory and International Threatened Species",
"Taxon ID","Scientific Name","Common Name","EPBC Threat Status","EPBC Threatened Species Listed Name","EPBC Threatened Species Date Effective","EPBC Act Migratory","Marine Status","Listed Name Marine","Conservation Advice","Recovery Plan","Kingdom","Phylum","Class","Order","Family","Genus","Taxon Group","IUCN Red List","IUCN Red List Listed Names",
"5547","Abelmoschus ficulneus", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","dicots (two seed leaves)","Least Concern","Abelmoschus ficulneus",
"12940","Abelmoschus moschatus", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","dicots (two seed leaves)","Least Concern","Abelmoschus moschatus",
"81927","Abudefduf bengalensis","Bengal sergeant","","","","","","","","","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","ray-finned fishes","Least Concern","Abudefduf bengalensis",
"81928","Abudefduf sexfasciatus","Scissor-tail sergeant","","","","","","","","","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","ray-finned fishes","Least Concern","Abudefduf sexfasciatus",
"81929","Abudefduf sordidus","Blackspot sergeant","","","","","","","","","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","ray-finned fishes","Least Concern","Abudefduf sordidus",
"81930","Abudefduf vaigiensis","Indo-Pacific sergeant","","","","","","","","","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","ray-finned fishes","Least Concern","Abudefduf vaigiensis",
"81931","Abudefduf whitleyi","Indo-Pacific sergeant, Whitley's sergeant","","","","","","","","","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","ray-finned fishes","Least Concern","Abudefduf whitleyi",
"27797","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered","Abutilon julianae","25-NOV-2003","","","","","28-Jul-10","Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","dicots (two seed leaves)","","",
"12418","Acacia acradenia", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia acradenia",
"19323","Acacia acuminata","Raspberry Jam, Jam","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia acuminata",
"15284","Acacia adsurgens", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia adsurgens",
"21126","Acacia adunca","Wallangarra Wattle, Cascade Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia adunca",
"75030","Acacia aemula", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia aemula",
