epbc_name,epbc_cat,appendix,rl_grp_mod,tot_imp_vol_5yrs,avg_imp_5yr,max_peryr_5yrs,min_peryr_5yrs
Thunnus obesus,NA,NA,Vulnerable,9544.047118762279,1908.8094237524556,2526.0366650571846,1448.754343154912
Gadus morhua,NA,NA,Vulnerable,5103.431441500437,1020.6862883000875,1381.880702731496,672.5273524620228
Hoplostethus atlanticus,Conservation Dependent,NA,Not Assessed,3503.57338257128,700.714676514256,761.8012937195787,662.7768371178377
Squalus acanthias,NA,NA,Vulnerable,3048.010383312971,609.6020766625943,672.0820634448796,488.56416659090434
Makaira nigricans,NA,NA,Vulnerable,2423.2943589338693,484.65887178677383,791.7759775791048,227.63629720436785
Mustelus schmitti,NA,NA,Critically Endangered,2013.5332677097733,402.70665354195467,473.14592199190304,339.2998749870069
Seriolella brama,Conservation Dependent,NA,Not Assessed,1840.20978281253,368.041956562506,423.3512710709696,312.74464578028375
Galeorhinus galeus,Conservation Dependent,NA,Critically Endangered,1578.3888390363354,315.67776780726706,352.9975095983499,263.64896780268737
Prionace glauca,NA,II,Near Threatened,1501.8091469990281,300.36182939980563,399.2916360651326,197.78013286230149
Larimichthys crocea,NA,NA,Critically Endangered,1144.8733434940982,228.97466869881964,325.48317603586264,151.76131385428016
Melanogrammus aeglefinus,NA,NA,Vulnerable,1051.8606693190268,210.37213386380535,246.0268756191125,173.74679679008307
Callorhinchus callorynchus,NA,NA,Vulnerable,901.7255887646905,180.3451177529381,249.20499986721177,113.2519807034538
Isurus oxyrinchus,NA,II,Endangered,428.11493547099167,85.62298709419834,108.79629908429874,66.59468035751983
Istiophorus platypterus,NA,NA,Vulnerable,415.5516429615299,83.11032859230599,111.30068535153879,60.34189134974332
Trachurus trachurus,NA,NA,Vulnerable,291.22776041842536,58.24555208368508,95.15079100333615,30.59165803653768
Cyprinus carpio,NA,NA,Vulnerable,255.16047135438754,51.03209427087751,90.15197121809551,16.659184242114986
Dipturus chilensis,NA,NA,Endangered,247.2619299221985,49.4523859844397,90.84846590152456,14.2449254178108
Pomatomus saltatrix,NA,NA,Vulnerable,166.0051047880322,33.201020957606445,44.7112560582921,18.37722234656242
Leucoraja ocellata,NA,NA,Endangered,141.6669741094561,28.33339482189122,49.55967624441195,12.2591483486849
Alopias,NA,II,threatened_grp,114.44472374802352,22.888944749604704,29.440642511170203,12.91677580836686
Carcharhinidae,NA,II,threatened_grp,111.99505526555804,22.399011053111607,41.01285473881561,11.968136092114332
Carcharhinus falciformis,NA,II,Vulnerable,107.54531327258013,21.50906265451603,32.0458853479694,13.32966635119168
Sardinella maderensis,NA,NA,Vulnerable,97.41522258467653,19.483044516935305,29.709882217471993,7.125135330641735
Lutjanus campechanus,NA,NA,Vulnerable,96.61990465880746,19.32398093176149,24.968488769866802,12.081931240651743
Thunnus maccoyii,Conservation Dependent,NA,Endangered,92.66355766169035,18.53271153233807,27.434848686489932,15.37467358294641
