Species name,Common name,Exported volume (tonnes),Current IUCN listing,First IUCN listing,CITES listing,EPBC Category,Fishery Assessment (AFMA),FRDC stock status,Notes,References
galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark","689 (EPBC), 1106 (IUCN)","Critically endangered, decreasing (2020)",Vulnerable (2000),NA,Conservation Dependent (2009),Overfished,Depleted,,https://fish.gov.au/2020-Reports/school_shark; https://www.afma.gov.au/species/school-shark
hoplostethus atlanticus,"Orange Roughy, Deep-sea Perch, Red Roughy","2871 (EPBC), ? (IUCN)","Vulnerable, Unknown (European region; 2015)",Vulnerable (2015),NA,Conservaiton Dependent (2006),2 of 4 stocks overfished,"3 stocks depleted, 1 undefined, 2 sustainable",,https://www.fish.gov.au/reportstock?kw=orange+roughy&page=1&sort=LatestFirst; https://www.afma.gov.au/species/orange-roughy
thunnus maccoyii,Southern Bluefin Tuna,"103,022 (EPBC), 173,863 (IUCN)","Endangered, recovering (2021)",Critically Endangered (1996),NA,Considered in 2005; listed as Conservation Dependent (2010),Not overfished,Sustainable,,https://www.fish.gov.au/reportstock?kw=thunnus+maccoyii&page=1&sort=LatestFirst; https://www.afma.gov.au/species/southern-bluefin-tuna
xiphias gladius,swordfish,"23,274.85","Near Threatened, decreasing (2021)",Data Deficient (1996),NA,NA,Not overfished,2 sustainable,,https://www.fish.gov.au/2020-Reports/swordfish; https://www.afma.gov.au/species/broadbill-swordfish
thunnus obesus,bigeye tuna,"20,968.58","Vulnerable, decreasing (2021)",Vulnerable (1996),NA,NA,Not overfished (although one stock as subject to overfishing),"1 depleting, 1 sustainable",,https://www.fish.gov.au/2020-Reports/bigeye_tuna; https://www.afma.gov.au/species/bigeye-tuna
bidyanus bidyanus,silver perch,"3,249","Near Threatened, stable (2019)",Vulnerable (1996),NA,"Critically Endangered (2013), under threatened listing assessment (2024)",NA,NA,,NA
scomberomorus commerson,narrow-barred spanish mackerel,"1,389","Near Threatened, decreasing (2022)",Near Threatened (2011),NA,NA,NA,"1 depleted, 1 depleting, 3 sustainable",AFMA published a report on enhancing stock assessments specifically in Torres Strait. ,https://fish.gov.au/2020-Reports/spanish_mackerel; https://www.afma.gov.au/sites/default/files/2023-03/2019-0832_final_report%5B1%5D.pdf
cherax destructor,cherax destructor,354,"Vulnerable, unspacified trend (1996)",Vulnerable (1996),NA,NA,NA,NA,,NA
pomatomus saltatrix,blue fish,89,"Vulnerable, decreasing (2015)",Vulnerable (2015),NA,NA,NA,NA,,NA
seriolella brama,Blue Warehou,34,NA,NA,NA,Conservation Dependent (2015),Overfished,Both stocks depleted,,https://www.fish.gov.au/report/266-Blue-Warehou-2020; https://www.agriculture.gov.au/abares/research-topics/fisheries/fishery-status/scalefish-shark-fishery#_86-environmental-status; https://www.afma.gov.au/species/blue-warehou
carcharhinus sorrah,spottal shark,8.5,"Near Threatened, decreasing (2020)",Near Threatened (2009),Appendix II (2023),NA,NA,Sustainable,"One report mentioned export of this species, primarily its fins",https://www.fish.gov.au/report/306-Spot-Tail-Shark-2020;  https://www.dcceew.gov.au/sites/default/files/documents/expert-advice-cites-ndfs-spot-tail-shark.pdf
bathyraja irrasa,kerguelen sandpaper skate,7,"Vulnerable, decreasing (2019)",Near Threatened (2009),NA,NA,"Only incidental bycatch by longlines, no status","Only incidental bycatch, no status",,https://fish.gov.au/docs/SharkReport/2023_FRDC_Bathyraja_irrasa_Final.pdf
carcharhinus amboinensis,pigeye shark,5.08,"Vulnerable, decreasing (2020)",Data Deficient (2000),Appendix II (2023),NA,NA,"Sustainable, bycatch",,https://fish.gov.au/docs/SharkReport/FRDC_Carcharhinus_amboinensis.pdf
somniosus pacificus,pacific sleeper shark,3,"Near Threatened, decreasing (2019)",Data Deficient (2009),NA,NA,NA,NA,,NA
makaira nigricans,blue marlin,2.8,"Vulnerable, decreasing  (2021)",Vulnerable (2011),NA,NA,NA,NA,Cannot take as bycatch unless it's pulled dead to the boat, https://www.afma.gov.au/sites/default/files/2023-03/2023-wtbf-management-arrangements-booklet.pdf
eusphyra blochii,winghead shark,1.04,"Endangered, decreasing  (2015)",Near Threatened (2003),Appendix II (2023),NA,NA,Sustainable; bycatch,Report for hammerhead mentions winghead shark captures under a broader shark group. Mentioned in Hammerhead management,https://fish.gov.au/docs/SharkReport/FRDC_Eusphyra_blochii.pdf; https://www.environment.gov.au/biodiversity/threatened/species/pubs/85267-listing-advice-15032018.pdf
lamna nasus,porbeagle,0.82,"Vulnerable, decreasing (2018)",Vulnerable (1996),Appendix III (FR 2013); Appendix II (several countries; 2015),Migratory,NA,NA,"can trade domestically if brought up dead, if alive must be returned",https://www.environment.gov.au/biodiversity/threatened/species/pubs/85267-listing-advice-15032018.pdf; https://www.dcceew.gov.au/sites/default/files/documents/small-pelagic-fishery-reassessment-2023.pdf 
